text,priority
Follow-up: we would appreciate your feedback on the exam schedule.,medium
No rush: check out this article on assignment submission whenever you're free.,low
Urgent: please submit the assignment submission by tonight.,high
Urgent: please submit the assignment submission by tonight.,high
ASAP: we need your response regarding new policy.,high
No rush: check out this article on team meeting whenever you're free.,low
FYI: there is a new newsletter about team meeting.,low
Important: please review the lab evaluation soon.,medium
Random thought: new policy looks interesting.,low
FYI: there is a new newsletter about course feedback.,low
FYI: there is a new newsletter about new policy.,low
Please look over the project report when you have time.,medium
No rush: check out this article on team meeting whenever you're free.,low
Please look over the assignment submission when you have time.,medium
No rush: check out this article on project report whenever you're free.,low
Reminder: don't forget to check the system update this week.,medium
Random thought: course feedback looks interesting.,low
ASAP: we need your response regarding system update.,high
Random thought: project report looks interesting.,low
Reminder: don't forget to check the course feedback this week.,medium
Please look over the assignment submission when you have time.,medium
Follow-up: we would appreciate your feedback on the new policy.,medium
Urgent: please submit the exam schedule by tonight.,high
Important: please review the assignment submission soon.,medium
Reminder: don't forget to check the assignment submission this week.,medium
FYI: there is a new newsletter about system update.,low
No rush: check out this article on team meeting whenever you're free.,low
FYI: there is a new newsletter about new policy.,low
"Hey, just sharing some memes about exam schedule.",low
"Hey, just sharing some memes about assignment submission.",low
Urgent: please submit the course feedback by tonight.,high
Follow-up: we would appreciate your feedback on the team meeting.,medium
ASAP: we need your response regarding project report.,high
Critical update: new policy must be fixed within the next 2 hours.,high
Important: please review the team meeting soon.,medium
Important: please review the exam schedule soon.,medium
Please look over the exam schedule when you have time.,medium
Immediate attention required: exam schedule deadline is today.,high
No rush: check out this article on exam schedule whenever you're free.,low
Random thought: project report looks interesting.,low
Urgent: please submit the assignment submission by tonight.,high
Random thought: project report looks interesting.,low
Critical update: assignment submission must be fixed within the next 2 hours.,high
Reminder: don't forget to check the new policy this week.,medium
Important: please review the system update soon.,medium
Critical update: system update must be fixed within the next 2 hours.,high
Critical update: project report must be fixed within the next 2 hours.,high
ASAP: we need your response regarding assignment submission.,high
Random thought: course feedback looks interesting.,low
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Immediate attention required: team meeting deadline is today.,high
Urgent: please submit the project report by tonight.,high
FYI: there is a new newsletter about team meeting.,low
ASAP: we need your response regarding system update.,high
Immediate attention required: assignment submission deadline is today.,high
Immediate attention required: assignment submission deadline is today.,high
Reminder: don't forget to check the exam schedule this week.,medium
Random thought: project report looks interesting.,low
Reminder: don't forget to check the exam schedule this week.,medium
Random thought: assignment submission looks interesting.,low
Please look over the assignment submission when you have time.,medium
Urgent: please submit the team meeting by tonight.,high
Critical update: project report must be fixed within the next 2 hours.,high
ASAP: we need your response regarding system update.,high
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
Random thought: lab evaluation looks interesting.,low
Random thought: lab evaluation looks interesting.,low
No rush: check out this article on exam schedule whenever you're free.,low
Follow-up: we would appreciate your feedback on the new policy.,medium
Important: please review the assignment submission soon.,medium
Follow-up: we would appreciate your feedback on the assignment submission.,medium
"Hey, just sharing some memes about exam schedule.",low
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
FYI: there is a new newsletter about course feedback.,low
Please look over the new policy when you have time.,medium
Urgent: please submit the system update by tonight.,high
Please look over the assignment submission when you have time.,medium
Random thought: lab evaluation looks interesting.,low
FYI: there is a new newsletter about course feedback.,low
ASAP: we need your response regarding system update.,high
Immediate attention required: team meeting deadline is today.,high
"Hey, just sharing some memes about project report.",low
Reminder: don't forget to check the team meeting this week.,medium
"Hey, just sharing some memes about team meeting.",low
Reminder: don't forget to check the course feedback this week.,medium
Follow-up: we would appreciate your feedback on the course feedback.,medium
Follow-up: we would appreciate your feedback on the team meeting.,medium
Please look over the team meeting when you have time.,medium
Random thought: exam schedule looks interesting.,low
ASAP: we need your response regarding project report.,high
ASAP: we need your response regarding assignment submission.,high
Important: please review the new policy soon.,medium
"Hey, just sharing some memes about course feedback.",low
Follow-up: we would appreciate your feedback on the course feedback.,medium
Random thought: new policy looks interesting.,low
Reminder: don't forget to check the team meeting this week.,medium
FYI: there is a new newsletter about project report.,low
Immediate attention required: project report deadline is today.,high
Immediate attention required: team meeting deadline is today.,high
Please look over the new policy when you have time.,medium
ASAP: we need your response regarding team meeting.,high
Random thought: new policy looks interesting.,low
No rush: check out this article on team meeting whenever you're free.,low
ASAP: we need your response regarding assignment submission.,high
Important: please review the new policy soon.,medium
Critical update: team meeting must be fixed within the next 2 hours.,high
Random thought: lab evaluation looks interesting.,low
Critical update: assignment submission must be fixed within the next 2 hours.,high
Random thought: new policy looks interesting.,low
"Hey, just sharing some memes about assignment submission.",low
Follow-up: we would appreciate your feedback on the course feedback.,medium
Immediate attention required: exam schedule deadline is today.,high
Follow-up: we would appreciate your feedback on the course feedback.,medium
Random thought: system update looks interesting.,low
Reminder: don't forget to check the exam schedule this week.,medium
Please look over the system update when you have time.,medium
Random thought: project report looks interesting.,low
Reminder: don't forget to check the system update this week.,medium
No rush: check out this article on team meeting whenever you're free.,low
"Hey, just sharing some memes about new policy.",low
Critical update: course feedback must be fixed within the next 2 hours.,high
Immediate attention required: course feedback deadline is today.,high
Critical update: exam schedule must be fixed within the next 2 hours.,high
Critical update: exam schedule must be fixed within the next 2 hours.,high
Please look over the exam schedule when you have time.,medium
Urgent: please submit the course feedback by tonight.,high
Immediate attention required: project report deadline is today.,high
Reminder: don't forget to check the system update this week.,medium
Urgent: please submit the course feedback by tonight.,high
Please look over the exam schedule when you have time.,medium
Random thought: assignment submission looks interesting.,low
Please look over the project report when you have time.,medium
Random thought: new policy looks interesting.,low
Critical update: project report must be fixed within the next 2 hours.,high
Random thought: exam schedule looks interesting.,low
Important: please review the course feedback soon.,medium
ASAP: we need your response regarding new policy.,high
Please look over the exam schedule when you have time.,medium
FYI: there is a new newsletter about team meeting.,low
ASAP: we need your response regarding exam schedule.,high
No rush: check out this article on team meeting whenever you're free.,low
"Hey, just sharing some memes about course feedback.",low
Random thought: new policy looks interesting.,low
Random thought: team meeting looks interesting.,low
No rush: check out this article on team meeting whenever you're free.,low
Please look over the new policy when you have time.,medium
"Hey, just sharing some memes about new policy.",low
Reminder: don't forget to check the lab evaluation this week.,medium
Critical update: project report must be fixed within the next 2 hours.,high
"Hey, just sharing some memes about new policy.",low
No rush: check out this article on project report whenever you're free.,low
Urgent: please submit the new policy by tonight.,high
Reminder: don't forget to check the assignment submission this week.,medium
No rush: check out this article on course feedback whenever you're free.,low
Immediate attention required: team meeting deadline is today.,high
Important: please review the project report soon.,medium
Urgent: please submit the assignment submission by tonight.,high
ASAP: we need your response regarding exam schedule.,high
ASAP: we need your response regarding assignment submission.,high
Urgent: please submit the course feedback by tonight.,high
"Hey, just sharing some memes about course feedback.",low
Immediate attention required: new policy deadline is today.,high
No rush: check out this article on new policy whenever you're free.,low
Immediate attention required: system update deadline is today.,high
"Hey, just sharing some memes about new policy.",low
Important: please review the system update soon.,medium
Urgent: please submit the course feedback by tonight.,high
Critical update: lab evaluation must be fixed within the next 2 hours.,high
"Hey, just sharing some memes about system update.",low
"Hey, just sharing some memes about course feedback.",low
Please look over the system update when you have time.,medium
Immediate attention required: system update deadline is today.,high
No rush: check out this article on system update whenever you're free.,low
ASAP: we need your response regarding assignment submission.,high
Critical update: assignment submission must be fixed within the next 2 hours.,high
Urgent: please submit the lab evaluation by tonight.,high
Important: please review the lab evaluation soon.,medium
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
Random thought: system update looks interesting.,low
"Hey, just sharing some memes about project report.",low
Random thought: project report looks interesting.,low
Reminder: don't forget to check the assignment submission this week.,medium
Immediate attention required: team meeting deadline is today.,high
ASAP: we need your response regarding assignment submission.,high
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
Reminder: don't forget to check the assignment submission this week.,medium
Follow-up: we would appreciate your feedback on the course feedback.,medium
Please look over the new policy when you have time.,medium
"Hey, just sharing some memes about exam schedule.",low
"Hey, just sharing some memes about system update.",low
Important: please review the system update soon.,medium
Random thought: project report looks interesting.,low
Important: please review the course feedback soon.,medium
Immediate attention required: team meeting deadline is today.,high
FYI: there is a new newsletter about new policy.,low
Please look over the team meeting when you have time.,medium
Random thought: system update looks interesting.,low
Urgent: please submit the assignment submission by tonight.,high
Please look over the system update when you have time.,medium
FYI: there is a new newsletter about course feedback.,low
FYI: there is a new newsletter about exam schedule.,low
Follow-up: we would appreciate your feedback on the course feedback.,medium
"Hey, just sharing some memes about team meeting.",low
Please look over the exam schedule when you have time.,medium
"Hey, just sharing some memes about new policy.",low
"Hey, just sharing some memes about system update.",low
No rush: check out this article on new policy whenever you're free.,low
ASAP: we need your response regarding system update.,high
Important: please review the exam schedule soon.,medium
Important: please review the new policy soon.,medium
Reminder: don't forget to check the exam schedule this week.,medium
"Hey, just sharing some memes about exam schedule.",low
Follow-up: we would appreciate your feedback on the system update.,medium
"Hey, just sharing some memes about lab evaluation.",low
Random thought: team meeting looks interesting.,low
Immediate attention required: lab evaluation deadline is today.,high
Important: please review the assignment submission soon.,medium
Random thought: exam schedule looks interesting.,low
"Hey, just sharing some memes about exam schedule.",low
FYI: there is a new newsletter about team meeting.,low
Critical update: course feedback must be fixed within the next 2 hours.,high
ASAP: we need your response regarding project report.,high
Random thought: project report looks interesting.,low
Urgent: please submit the system update by tonight.,high
Follow-up: we would appreciate your feedback on the course feedback.,medium
"Hey, just sharing some memes about project report.",low
Reminder: don't forget to check the assignment submission this week.,medium
Critical update: team meeting must be fixed within the next 2 hours.,high
Important: please review the project report soon.,medium
FYI: there is a new newsletter about new policy.,low
Please look over the team meeting when you have time.,medium
ASAP: we need your response regarding exam schedule.,high
Immediate attention required: lab evaluation deadline is today.,high
Follow-up: we would appreciate your feedback on the system update.,medium
Reminder: don't forget to check the exam schedule this week.,medium
Please look over the course feedback when you have time.,medium
Follow-up: we would appreciate your feedback on the project report.,medium
Important: please review the course feedback soon.,medium
No rush: check out this article on system update whenever you're free.,low
Urgent: please submit the new policy by tonight.,high
"Hey, just sharing some memes about course feedback.",low
Important: please review the project report soon.,medium
ASAP: we need your response regarding lab evaluation.,high
Important: please review the system update soon.,medium
"Hey, just sharing some memes about team meeting.",low
Random thought: new policy looks interesting.,low
Urgent: please submit the assignment submission by tonight.,high
No rush: check out this article on project report whenever you're free.,low
Immediate attention required: project report deadline is today.,high
Critical update: lab evaluation must be fixed within the next 2 hours.,high
Follow-up: we would appreciate your feedback on the team meeting.,medium
FYI: there is a new newsletter about course feedback.,low
Important: please review the project report soon.,medium
"Hey, just sharing some memes about system update.",low
FYI: there is a new newsletter about new policy.,low
Reminder: don't forget to check the new policy this week.,medium
Immediate attention required: project report deadline is today.,high
Urgent: please submit the team meeting by tonight.,high
ASAP: we need your response regarding new policy.,high
ASAP: we need your response regarding team meeting.,high
Please look over the system update when you have time.,medium
Immediate attention required: lab evaluation deadline is today.,high
Important: please review the assignment submission soon.,medium
Critical update: team meeting must be fixed within the next 2 hours.,high
Reminder: don't forget to check the new policy this week.,medium
Reminder: don't forget to check the project report this week.,medium
No rush: check out this article on assignment submission whenever you're free.,low
FYI: there is a new newsletter about assignment submission.,low
Please look over the assignment submission when you have time.,medium
Random thought: new policy looks interesting.,low
"Hey, just sharing some memes about project report.",low
FYI: there is a new newsletter about system update.,low
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Please look over the assignment submission when you have time.,medium
Random thought: new policy looks interesting.,low
Important: please review the assignment submission soon.,medium
"Hey, just sharing some memes about system update.",low
Important: please review the lab evaluation soon.,medium
Random thought: course feedback looks interesting.,low
Reminder: don't forget to check the team meeting this week.,medium
Urgent: please submit the course feedback by tonight.,high
Important: please review the lab evaluation soon.,medium
ASAP: we need your response regarding project report.,high
"Hey, just sharing some memes about course feedback.",low
ASAP: we need your response regarding exam schedule.,high
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Critical update: system update must be fixed within the next 2 hours.,high
Urgent: please submit the project report by tonight.,high
"Hey, just sharing some memes about system update.",low
Urgent: please submit the team meeting by tonight.,high
Critical update: exam schedule must be fixed within the next 2 hours.,high
Critical update: team meeting must be fixed within the next 2 hours.,high
Immediate attention required: lab evaluation deadline is today.,high
ASAP: we need your response regarding project report.,high
FYI: there is a new newsletter about lab evaluation.,low
"Hey, just sharing some memes about exam schedule.",low
Reminder: don't forget to check the lab evaluation this week.,medium
Please look over the system update when you have time.,medium
Important: please review the course feedback soon.,medium
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Random thought: project report looks interesting.,low
Random thought: new policy looks interesting.,low
Immediate attention required: lab evaluation deadline is today.,high
ASAP: we need your response regarding team meeting.,high
Please look over the course feedback when you have time.,medium
Critical update: lab evaluation must be fixed within the next 2 hours.,high
Random thought: course feedback looks interesting.,low
Follow-up: we would appreciate your feedback on the team meeting.,medium
Please look over the system update when you have time.,medium
No rush: check out this article on exam schedule whenever you're free.,low
ASAP: we need your response regarding assignment submission.,high
Please look over the course feedback when you have time.,medium
Important: please review the system update soon.,medium
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Urgent: please submit the course feedback by tonight.,high
Immediate attention required: new policy deadline is today.,high
Random thought: assignment submission looks interesting.,low
Follow-up: we would appreciate your feedback on the exam schedule.,medium
Please look over the lab evaluation when you have time.,medium
Follow-up: we would appreciate your feedback on the system update.,medium
FYI: there is a new newsletter about project report.,low
Urgent: please submit the project report by tonight.,high
Follow-up: we would appreciate your feedback on the course feedback.,medium
Random thought: lab evaluation looks interesting.,low
"Hey, just sharing some memes about project report.",low
Follow-up: we would appreciate your feedback on the team meeting.,medium
Important: please review the lab evaluation soon.,medium
Critical update: course feedback must be fixed within the next 2 hours.,high
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Urgent: please submit the system update by tonight.,high
FYI: there is a new newsletter about new policy.,low
Important: please review the assignment submission soon.,medium
Immediate attention required: new policy deadline is today.,high
"Hey, just sharing some memes about system update.",low
Urgent: please submit the project report by tonight.,high
Please look over the team meeting when you have time.,medium
FYI: there is a new newsletter about exam schedule.,low
Important: please review the project report soon.,medium
"Hey, just sharing some memes about system update.",low
Random thought: exam schedule looks interesting.,low
Immediate attention required: project report deadline is today.,high
ASAP: we need your response regarding project report.,high
Urgent: please submit the system update by tonight.,high
Random thought: system update looks interesting.,low
No rush: check out this article on course feedback whenever you're free.,low
Important: please review the course feedback soon.,medium
Random thought: system update looks interesting.,low
No rush: check out this article on system update whenever you're free.,low
Important: please review the lab evaluation soon.,medium
No rush: check out this article on system update whenever you're free.,low
Immediate attention required: team meeting deadline is today.,high
FYI: there is a new newsletter about project report.,low
Immediate attention required: course feedback deadline is today.,high
Important: please review the exam schedule soon.,medium
No rush: check out this article on course feedback whenever you're free.,low
Important: please review the exam schedule soon.,medium
Important: please review the exam schedule soon.,medium
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
ASAP: we need your response regarding course feedback.,high
"Hey, just sharing some memes about course feedback.",low
FYI: there is a new newsletter about course feedback.,low
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Urgent: please submit the assignment submission by tonight.,high
Reminder: don't forget to check the course feedback this week.,medium
Immediate attention required: course feedback deadline is today.,high
FYI: there is a new newsletter about system update.,low
FYI: there is a new newsletter about team meeting.,low
FYI: there is a new newsletter about assignment submission.,low
Immediate attention required: team meeting deadline is today.,high
ASAP: we need your response regarding new policy.,high
Critical update: system update must be fixed within the next 2 hours.,high
No rush: check out this article on new policy whenever you're free.,low
No rush: check out this article on assignment submission whenever you're free.,low
FYI: there is a new newsletter about lab evaluation.,low
Follow-up: we would appreciate your feedback on the assignment submission.,medium
Random thought: exam schedule looks interesting.,low
ASAP: we need your response regarding exam schedule.,high
Please look over the team meeting when you have time.,medium
Please look over the system update when you have time.,medium
Critical update: team meeting must be fixed within the next 2 hours.,high
Urgent: please submit the project report by tonight.,high
"Hey, just sharing some memes about project report.",low
Important: please review the assignment submission soon.,medium
No rush: check out this article on system update whenever you're free.,low
Random thought: lab evaluation looks interesting.,low
Please look over the course feedback when you have time.,medium
Follow-up: we would appreciate your feedback on the project report.,medium
Follow-up: we would appreciate your feedback on the project report.,medium
No rush: check out this article on course feedback whenever you're free.,low
Immediate attention required: team meeting deadline is today.,high
"Hey, just sharing some memes about exam schedule.",low
Please look over the exam schedule when you have time.,medium
FYI: there is a new newsletter about project report.,low
ASAP: we need your response regarding assignment submission.,high
Urgent: please submit the lab evaluation by tonight.,high
ASAP: we need your response regarding new policy.,high
Immediate attention required: system update deadline is today.,high
Immediate attention required: course feedback deadline is today.,high
ASAP: we need your response regarding team meeting.,high
Important: please review the project report soon.,medium
Random thought: project report looks interesting.,low
Important: please review the new policy soon.,medium
No rush: check out this article on assignment submission whenever you're free.,low
No rush: check out this article on course feedback whenever you're free.,low
Immediate attention required: system update deadline is today.,high
Reminder: don't forget to check the new policy this week.,medium
ASAP: we need your response regarding team meeting.,high
Important: please review the new policy soon.,medium
Critical update: course feedback must be fixed within the next 2 hours.,high
FYI: there is a new newsletter about course feedback.,low
Reminder: don't forget to check the new policy this week.,medium
No rush: check out this article on assignment submission whenever you're free.,low
Urgent: please submit the team meeting by tonight.,high
Urgent: please submit the project report by tonight.,high
Random thought: new policy looks interesting.,low
Important: please review the course feedback soon.,medium
ASAP: we need your response regarding exam schedule.,high
"Hey, just sharing some memes about project report.",low
ASAP: we need your response regarding lab evaluation.,high
"Hey, just sharing some memes about project report.",low
Immediate attention required: team meeting deadline is today.,high
Random thought: system update looks interesting.,low
Please look over the team meeting when you have time.,medium
Immediate attention required: assignment submission deadline is today.,high
ASAP: we need your response regarding exam schedule.,high
Please look over the new policy when you have time.,medium
Follow-up: we would appreciate your feedback on the project report.,medium
Urgent: please submit the lab evaluation by tonight.,high
ASAP: we need your response regarding project report.,high
Important: please review the course feedback soon.,medium
No rush: check out this article on exam schedule whenever you're free.,low
Important: please review the team meeting soon.,medium
Immediate attention required: course feedback deadline is today.,high
ASAP: we need your response regarding lab evaluation.,high
Urgent: please submit the system update by tonight.,high
Please look over the course feedback when you have time.,medium
Please look over the lab evaluation when you have time.,medium
Follow-up: we would appreciate your feedback on the course feedback.,medium
Follow-up: we would appreciate your feedback on the exam schedule.,medium
ASAP: we need your response regarding team meeting.,high
Random thought: course feedback looks interesting.,low
Please look over the new policy when you have time.,medium
No rush: check out this article on project report whenever you're free.,low
FYI: there is a new newsletter about exam schedule.,low
Critical update: project report must be fixed within the next 2 hours.,high
ASAP: we need your response regarding system update.,high
ASAP: we need your response regarding lab evaluation.,high
ASAP: we need your response regarding lab evaluation.,high
ASAP: we need your response regarding exam schedule.,high
"Hey, just sharing some memes about system update.",low
Please look over the new policy when you have time.,medium
Immediate attention required: lab evaluation deadline is today.,high
Critical update: new policy must be fixed within the next 2 hours.,high
Urgent: please submit the new policy by tonight.,high
No rush: check out this article on project report whenever you're free.,low
Important: please review the exam schedule soon.,medium
No rush: check out this article on exam schedule whenever you're free.,low
"Hey, just sharing some memes about project report.",low
Critical update: team meeting must be fixed within the next 2 hours.,high
Urgent: please submit the exam schedule by tonight.,high
"Hey, just sharing some memes about course feedback.",low
Urgent: please submit the course feedback by tonight.,high
Immediate attention required: system update deadline is today.,high
Reminder: don't forget to check the new policy this week.,medium
Urgent: please submit the lab evaluation by tonight.,high
ASAP: we need your response regarding project report.,high
ASAP: we need your response regarding project report.,high
Immediate attention required: team meeting deadline is today.,high
ASAP: we need your response regarding project report.,high
Follow-up: we would appreciate your feedback on the project report.,medium
No rush: check out this article on lab evaluation whenever you're free.,low
Immediate attention required: system update deadline is today.,high
Random thought: assignment submission looks interesting.,low
Critical update: new policy must be fixed within the next 2 hours.,high
Please look over the lab evaluation when you have time.,medium
FYI: there is a new newsletter about project report.,low
Critical update: lab evaluation must be fixed within the next 2 hours.,high
Reminder: don't forget to check the new policy this week.,medium
Important: please review the course feedback soon.,medium
Please look over the exam schedule when you have time.,medium
Reminder: don't forget to check the new policy this week.,medium
Random thought: lab evaluation looks interesting.,low
Critical update: new policy must be fixed within the next 2 hours.,high
Reminder: don't forget to check the assignment submission this week.,medium
Important: please review the lab evaluation soon.,medium
Follow-up: we would appreciate your feedback on the system update.,medium
"Hey, just sharing some memes about system update.",low
Please look over the project report when you have time.,medium
Follow-up: we would appreciate your feedback on the lab evaluation.,medium
"Hey, just sharing some memes about course feedback.",low
Critical update: lab evaluation must be fixed within the next 2 hours.,high
Urgent: please submit the course feedback by tonight.,high
Critical update: project report must be fixed within the next 2 hours.,high
"Hey, just sharing some memes about assignment submission.",low
"Hey, just sharing some memes about team meeting.",low
Immediate attention required: exam schedule deadline is today.,high
Follow-up: we would appreciate your feedback on the system update.,medium
Reminder: don't forget to check the project report this week.,medium
"Hey, just sharing some memes about system update.",low
Urgent: please submit the exam schedule by tonight.,high
No rush: check out this article on exam schedule whenever you're free.,low
Critical update: assignment submission must be fixed within the next 2 hours.,high
FYI: there is a new newsletter about course feedback.,low
Random thought: assignment submission looks interesting.,low
FYI: there is a new newsletter about team meeting.,low
Reminder: don't forget to check the assignment submission this week.,medium
Reminder: don't forget to check the assignment submission this week.,medium
FYI: there is a new newsletter about assignment submission.,low
Immediate attention required: project report deadline is today.,high
Important: please review the exam schedule soon.,medium
Please look over the course feedback when you have time.,medium
Random thought: assignment submission looks interesting.,low
Urgent: please submit the exam schedule by tonight.,high
Random thought: lab evaluation looks interesting.,low
ASAP: we need your response regarding new policy.,high
Critical update: project report must be fixed within the next 2 hours.,high
Critical update: course feedback must be fixed within the next 2 hours.,high
ASAP: we need your response regarding lab evaluation.,high
Important: please review the exam schedule soon.,medium
Urgent: please submit the exam schedule by tonight.,high
Important: please review the project report soon.,medium
Important: please review the team meeting soon.,medium
Random thought: team meeting looks interesting.,low
Reminder: don't forget to check the assignment submission this week.,medium
No rush: check out this article on assignment submission whenever you're free.,low
Please look over the assignment submission when you have time.,medium
Immediate attention required: exam schedule deadline is today.,high
No rush: check out this article on project report whenever you're free.,low
Please look over the exam schedule when you have time.,medium
Important: please review the exam schedule soon.,medium
Urgent: please submit the project report by tonight.,high
Important: please review the exam schedule soon.,medium
Important: please review the project report soon.,medium
Critical update: course feedback must be fixed within the next 2 hours.,high
Random thought: course feedback looks interesting.,low
Random thought: system update looks interesting.,low
Urgent: please submit the exam schedule by tonight.,high
Follow-up: we would appreciate your feedback on the new policy.,medium
Please look over the lab evaluation when you have time.,medium
FYI: there is a new newsletter about team meeting.,low
Reminder: don't forget to check the project report this week.,medium
Urgent: please submit the assignment submission by tonight.,high
Critical update: team meeting must be fixed within the next 2 hours.,high
"Hey, just sharing some memes about new policy.",low
ASAP: we need your response regarding course feedback.,high
Immediate attention required: course feedback deadline is today.,high
"Hey, just sharing some memes about course feedback.",low
FYI: there is a new newsletter about project report.,low
"Hey, just sharing some memes about course feedback.",low
